//--------------------------------------------------
// transportation file produced by reading 
// excel file into R using XLConnect 
// and using R commands to output textfile 
//--------------------------------------------------

Factories = { fA fB fC fD fE };
Warehouses = { wA wB wC wD wE wF wG wH wI wJ };
Stores = { sA sB sC sD sE sF sG sH sI sJ sK sL sM sN sO sP sQ sR sS sT };
Products = { pA pB pC pD pE };
CapacityFW = 1000;
CapacityWS = 800;
MaxStorage = 2300;
TableRoutesFW = {
 < pA, fA, wA, 2 >
 < pA, fA, wB, 2 >
 < pA, fA, wC, 3 >
 < pA, fA, wD, 3 >
 < pA, fB, wC, 3 >
 < pA, fB, wD, 3 >
 < pA, fB, wE, 2 >
 < pA, fB, wF, 2 >
 < pA, fC, wE, 2 >
 < pA, fC, wF, 2 >
 < pA, fC, wG, 2 >
 < pA, fC, wH, 3 >
 < pA, fC, wI, 3 >
 < pA, fC, wJ, 3 >
 < pB, fA, wA, 2 >
 < pB, fA, wB, 2 >
 < pB, fA, wC, 3 >
 < pB, fA, wD, 3 >
 < pB, fB, wC, 3 >
 < pB, fB, wD, 3 >
 < pB, fB, wE, 2 >
 < pB, fB, wF, 2 >
 < pB, fC, wE, 2 >
 < pB, fC, wF, 2 >
 < pB, fC, wG, 2 >
 < pB, fC, wH, 3 >
 < pB, fC, wI, 3 >
 < pB, fC, wJ, 3 >
 < pC, fA, wA, 2 >
 < pC, fA, wB, 2 >
 < pC, fA, wC, 3 >
 < pC, fA, wD, 3 >
 < pC, fA, wE, 5 >
 < pC, fA, wF, 5 >
 < pC, fB, wE, 6 >
 < pC, fB, wF, 6 >
 < pC, fB, wG, 3 >
 < pC, fB, wH, 2 >
 < pC, fB, wI, 2 >
 < pC, fB, wJ, 2 >
 < pD, fD, wA, 6 >
 < pD, fD, wB, 5 >
 < pD, fD, wC, 4 >
 < pD, fD, wD, 3 >
 < pD, fD, wE, 2 >
 < pD, fD, wF, 2 >
 < pD, fD, wG, 2 >
 < pD, fE, wE, 3 >
 < pD, fE, wF, 3 >
 < pD, fE, wG, 2 >
 < pD, fE, wH, 3 >
 < pD, fE, wI, 1 >
 < pD, fE, wJ, 1 >
 < pE, fC, wA, 3 >
 < pE, fC, wB, 3 >
 < pE, fC, wC, 2 >
 < pE, fD, wA, 6 >
 < pE, fD, wB, 5 >
 < pE, fD, wC, 4 >
 < pE, fD, wD, 3 >
 < pE, fD, wE, 2 >
 < pE, fD, wF, 2 >
 < pE, fD, wG, 2 >
 < pE, fE, wE, 3 >
 < pE, fE, wF, 3 >
 < pE, fE, wG, 2 >
 < pE, fE, wH, 3 >
 < pE, fE, wI, 1 >
 < pE, fE, wJ, 1 >
};

TableRoutesWS = {
 < pA, wA, sA, 2 >
 < pA, wA, sB, 2 >
 < pA, wA, sC, 3 >
 < pA, wA, sD, 4 >
 < pA, wB, sC, 1 >
 < pA, wB, sD, 2 >
 < pA, wB, sE, 3 >
 < pA, wB, sF, 4 >
 < pA, wC, sE, 2 >
 < pA, wC, sF, 1 >
 < pA, wC, sG, 3 >
 < pA, wC, sH, 4 >
 < pA, wD, sG, 2 >
 < pA, wD, sH, 2 >
 < pA, wD, sI, 4 >
 < pA, wD, sJ, 4 >
 < pA, wE, sI, 1 >
 < pA, wE, sJ, 2 >
 < pA, wE, sK, 4 >
 < pA, wE, sL, 3 >
 < pA, wF, sK, 5 >
 < pA, wF, sL, 6 >
 < pA, wF, sM, 5 >
 < pA, wF, sN, 7 >
